Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU of centertopology:(all)172.37%,CPU with center topology,CPU with direct link (all)55.06%,CPU of 0Mbps,CPU1-CPU2
0.08%,0.21%,feptx,nr-softmodem,PHY_ofdm_mod.part.0,PHY,LOW PHY,,,-0.13%,,172.37%,0.14%,55.06%,0.12%,0.02%
0.08%,0.02%,thread_FH,[kernel.kallsyms],page_frag_free,PHY,LOW PHY,,0.06%,,,172.37%,0.14%,55.06%,0.01%,0.13%
0.07%,0.06%,Tpool3_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.01%,,,172.37%,0.12%,55.06%,0.03%,0.09%
0.07%,0.11%,thread_FH,[kernel.kallsyms],tcp_recvmsg,PHY,LOW PHY,,,-0.04%,,172.37%,0.12%,55.06%,0.06%,0.06%
0.07%,0%,thread_FH,[unknown],0xfffffe000003701b,PHY,LOW PHY,,-0.04%,,,172.37%,0.12%,55.06%,0.00%,0.12%
0.07%,0.12%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.05%,,172.37%,0.12%,55.06%,0.07%,0.05%
0.07%,0%,thread_FH,[kernel.kallsyms],ep_item_poll.isra.12,PHY,LOW PHY,,-0.05%,,,172.37%,0.12%,55.06%,0.00%,0.12%
0.07%,0%,Tpool0_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,-0.05%,,,172.37%,0.12%,55.06%,0.00%,0.12%
0.06%,0.02%,feptx,[kernel.kallsyms],__sched_text_start,PHY,LOW PHY,,0.04%,,,172.37%,0.10%,55.06%,0.01%,0.09%
0.06%,0.02%,Tpool1_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,0.04%,,,172.37%,0.10%,55.06%,0.01%,0.09%
0.06%,0.10%,feptx,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,,-0.04%,,172.37%,0.10%,55.06%,0.06%,0.05%
0.06%,0.03%,Tpool2_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.03%,,,172.37%,0.10%,55.06%,0.02%,0.09%
0.06%,0%,feptx,libpthread-2.27.so,pthread_mutex_unlock,PHY,LOW PHY,,0.03%,,,172.37%,0.10%,55.06%,0.00%,0.10%
0.06%,0.05%,TASK_RRC_GNB,[kernel.kallsyms],cpupri_set,RRC,,,0.01%,,,172.37%,0.10%,55.06%,0.03%,0.08%
0.06%,0%,thread_FH,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,0.01%,,,172.37%,0.10%,55.06%,0.00%,0.10%
0.06%,0.04%,pdcp_timer,[kernel.kallsyms],do_syscall_64,PDCP,,,0.02%,,,172.37%,0.10%,55.06%,0.02%,0.08%
0.06%,0.02%,thread_FH,nr-softmodem,get_samples_per_slot,PHY,LOW PHY,,0.04%,,,172.37%,0.10%,55.06%,0.01%,0.09%
0.06%,0.06%,feptx,nr-softmodem,nr_feptx_thread,PHY,LOW PHY,,0.00%,,,172.37%,0.10%,55.06%,0.03%,0.07%
0.06%,0.03%,thread_FH,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,0.03%,,,172.37%,0.10%,55.06%,0.02%,0.09%
0.06%,0.03%,thread_FH,[kernel.kallsyms],sock_rfree,PHY,LOW PHY,,0.03%,,,172.37%,0.10%,55.06%,0.02%,0.09%
0.06%,0.04%,thread_FH,[kernel.kallsyms],tcp_rcv_space_adjust,PHY,LOW PHY,,0.02%,,,172.37%,0.10%,55.06%,0.02%,0.08%
0.06%,0.03%,thread_FH,libc-2.27.so,epoll_wait,PHY,LOW PHY,,0.03%,,,172.37%,0.10%,55.06%,0.02%,0.09%
0.06%,0.06%,Tpool0_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,0.00%,,,172.37%,0.10%,55.06%,0.03%,0.07%
0.05%,0.08%,thread_FH,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,,-0.03%,,172.37%,0.09%,55.06%,0.04%,0.04%
0.05%,0.02%,thread_FH,[kernel.kallsyms],__slab_free,PHY,LOW PHY,,0.03%,,,172.37%,0.09%,55.06%,0.01%,0.08%
0.05%,0.06%,Tpool0_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.01%,,172.37%,0.09%,55.06%,0.03%,0.05%
0.05%,0.04%,thread_FH,nr-softmodem,ru_thread,PHY,LOW PHY,,0.01%,,,172.37%,0.09%,55.06%,0.02%,0.06%
0.05%,0.06%,feptx,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,,-0.01%,,172.37%,0.09%,55.06%,0.03%,0.05%
0.05%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],do_syscall_64,RRC,,,0.02%,,,172.37%,0.09%,55.06%,0.02%,0.07%
0.05%,0.12%,thread_FH,[kernel.kallsyms],ip_finish_output2,PHY,LOW PHY,,,-0.07%,,172.37%,0.09%,55.06%,0.07%,0.02%
0.05%,0.03%,thread_FH,[kernel.kallsyms],tcp_cleanup_rbuf,PHY,LOW PHY,,0.02%,,,172.37%,0.09%,55.06%,0.02%,0.07%
0.05%,0.10%,feptx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-0.05%,,172.37%,0.09%,55.06%,0.06%,0.03%
0.05%,0%,thread_FH,[kernel.kallsyms],__dev_queue_xmit,PHY,LOW PHY,,-0.05%,,,172.37%,0.09%,55.06%,0.00%,0.09%
0.05%,0%,thread_FH,[kernel.kallsyms],netdev_pick_tx,PHY,LOW PHY,,-0.05%,,,172.37%,0.09%,55.06%,0.00%,0.09%
0.04%,0.07%,Tpool0_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,,-0.03%,,172.37%,0.07%,55.06%,0.04%,0.03%
0.04%,0%,feptx,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,-0.03%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0%,Tpool1_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,-0.03%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0.05%,Tpool2_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,,-0.01%,,172.37%,0.07%,55.06%,0.03%,0.04%
0.04%,0%,TASK_RRC_GNB,[kernel.kallsyms],cpumask_next_and,RRC,,,-0.01%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0%,Tpool3_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,-0.01%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0%,feptx,[kernel.kallsyms],hash_futex,PHY,LOW PHY,,-0.01%,,,172.37%,0.07%,55.06%,0.00%,0.07%
0.04%,0.05%,nr-softmodem,nr-softmodem,tx_rf,PHY,LOW PHY,,,-0.01%,,172.37%,0.07%,55.06%,0.03%,0.04%
