Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
0.18%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],psi_task_change,NG,,,0.14%,,,44.08%,0.08%,82.40%,0.03%,0.05%
0.17%,0.02%,thread_FH,[kernel.kallsyms],native_queued_spin_lock_slowpath,PHY,LOW PHY,,0.15%,,,44.08%,0.07%,82.40%,0.02%,0.06%
0.17%,0.06%,thread_FH,[kernel.kallsyms],__virt_addr_valid,PHY,LOW PHY,,0.11%,,,44.08%,0.07%,82.40%,0.05%,0.03%
0.17%,0%,feprx,libdfts.so,dft1024,PHY,LOW PHY,DFT,0.17%,,,44.08%,0.07%,82.40%,0.00%,0.07%
0.16%,0%,thread_FH,[kernel.kallsyms],_copy_to_iter,PHY,LOW PHY,,0.16%,,,44.08%,0.07%,82.40%,0.00%,0.07%
0.16%,0.11%,RLC,queue,[k],RLC,,,0.05%,,,44.08%,0.07%,82.40%,0.09%,-0.02%
0.16%,0.31%,Tpool0_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,,-0.15%,,44.08%,0.07%,82.40%,0.26%,-0.18%
0.16%,0%,Tpool1_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.16%,,,44.08%,0.07%,82.40%,0.00%,0.07%
0.16%,0.81%,Tpool0_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,,-0.65%,,44.08%,0.07%,82.40%,0.67%,-0.60%
0.15%,0%,Tpool2_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.15%,,,44.08%,0.07%,82.40%,0.00%,0.07%
0.15%,0.01%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_lock,NG,,,0.14%,,,44.08%,0.07%,82.40%,0.01%,0.06%
0.14%,0.53%,thread_FH,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,,-0.39%,,44.08%,0.06%,82.40%,0.44%,-0.38%
0.14%,0.19%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,DFT,,-0.05%,,44.08%,0.06%,82.40%,0.16%,-0.09%
0.14%,0%,Tpool1_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.14%,,,44.08%,0.06%,82.40%,0.00%,0.06%
0.13%,0%,Tpool1_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.13%,,,44.08%,0.06%,82.40%,0.00%,0.06%
0.13%,0%,Tpool0_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.13%,,,44.08%,0.06%,82.40%,0.00%,0.06%
0.13%,1.25%,Tpool2_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,,-1.12%,,44.08%,0.06%,82.40%,1.03%,-0.97%
0.13%,0%,Tpool3_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.13%,,,44.08%,0.06%,82.40%,0.00%,0.06%
0.12%,0.06%,TASK_GTPV1_U,[kernel.kallsyms],visit_groups_merge,NG,,,0.06%,,,44.08%,0.05%,82.40%,0.05%,0.00%
0.12%,0%,thread_FH,[kernel.kallsyms],tcp_poll,PHY,LOW PHY,,0.12%,,,44.08%,0.05%,82.40%,0.00%,0.05%
0.12%,0%,Tpool2_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,0.12%,,,44.08%,0.05%,82.40%,0.00%,0.05%
