Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
0.03%,0%,Tpool3_-1,nr-softmodem,nr_rlc_entity_am_generate_pdu,RLC,,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,Tpool2_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,thread_FH,[kernel.kallsyms],cpupri_find,PHY,LOW PHY,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],resched_curr,NG,,,0.02%,,,44.08%,0.01%,82.40%,0.01%,0.00%
0.03%,0%,feptx,nr-softmodem,pthread_mutex_lock@plt,PHY,LOW PHY,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,TASK_GTPV1_U,[kernel.kallsyms],mark_wake_futex,NG,,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,feptx,[kernel.kallsyms],record_times,PHY,LOW PHY,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],switch_fpu_return,RRC,,,0.01%,,,44.08%,0.01%,82.40%,0.02%,0.00%
0.03%,0.11%,RLC,queue,[k],RLC,,,,-0.08%,,44.08%,0.01%,82.40%,0.09%,-0.08%
0.03%,0%,TASK_GTPV1_U,[kernel.kallsyms],__fget_light,NG,,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,thread_FH,[kernel.kallsyms],timerqueue_del,PHY,LOW PHY,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0.01%,thread_FH,[kernel.kallsyms],__hrtimer_init,PHY,LOW PHY,,0.02%,,,44.08%,0.01%,82.40%,0.01%,0.00%
0.03%,0%,thread_FH,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,Tpool2_-1,nr-softmodem,NR_UL_indication,MAC,,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,TASK_GNB_APP,nr-softmodem,dump_mac_stats,SL,,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,Tpool1_-1,libldpc.so,nrLDPC_bnProc_BG2_R13_AVX2,PHY,HIGH PHY,LDPC,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,feprx,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,thread_FH,[kernel.kallsyms],__local_bh_enable_ip,PHY,LOW PHY,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.03%,0%,pdcp_timer,[kernel.kallsyms],ctx_sched_in,PDCP,,,0.03%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],_raw_write_unlock_irq,PHY,LOW PHY,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,Tpool3_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],ipv4_dst_check,PHY,LOW PHY,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.01%,TASK_GNB_APP,libc-2.27.so,__GI___printf_fp_l,SL,,,0.01%,,,44.08%,0.01%,82.40%,0.01%,0.00%
0.02%,0%,TASK_GTPV1_U,[kernel.kallsyms],__first_packet_length,NG,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.11%,RLC,queue,[k],RLC,,,,-0.09%,,44.08%,0.01%,82.40%,0.09%,-0.08%
0.02%,0%,Tpool2_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,TASK_GTPV1_U,[kernel.kallsyms],__sys_recvfrom,NG,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.02%,TASK_GTPV1_U,libc-2.27.so,malloc,NG,,,0.00%,,,44.08%,0.01%,82.40%,0.02%,-0.01%
0.02%,0%,Tpool3_-1,nr-softmodem,ldpc8blocks,PHY,HIGH PHY,LDPC,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,TASK_RRC_GNB,[kernel.kallsyms],__perf_event_task_sched_in,RRC,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,TASK_GTPV1_U,[kernel.kallsyms],update_rt_migration,NG,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_out,NG,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,Tpool2_-1,nr-softmodem,nr_rlc_pdu_encoder_put_bits,RLC,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.03%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_unlock,NG,,,,-0.01%,,44.08%,0.01%,82.40%,0.02%,-0.02%
0.02%,0%,TASK_RRC_GNB,[kernel.kallsyms],__rcu_read_unlock,RRC,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,Tpool0_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.08%,RLC,queue,[.],RLC,,,,-0.06%,,44.08%,0.01%,82.40%,0.07%,-0.06%
0.02%,0.51%,Tpool2_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,,-0.49%,,44.08%,0.01%,82.40%,0.42%,-0.41%
0.02%,0%,TASK_GTPV1_U,[kernel.kallsyms],__skb_checksum,NG,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,pdcp_timer,[kernel.kallsyms],visit_groups_merge,PDCP,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,NG,,,0.00%,,,44.08%,0.01%,82.40%,0.02%,-0.01%
0.02%,0%,TASK_GTPV1_U,[kernel.kallsyms],pull_rt_task,NG,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],event_sched_in.isra.115.part.116,NG,,,0.01%,,,44.08%,0.01%,82.40%,0.01%,0.00%
0.02%,0%,Tpool1_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0.02%,PDCP,data,libpthread-2.27.so,PDCP,,,0.00%,,,44.08%,0.01%,82.40%,0.02%,-0.01%
0.02%,0%,pdcp_timer,[kernel.kallsyms],finish_task_switch,PDCP,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.02%,0%,TASK_RRC_GNB,[kernel.kallsyms],psi_task_change,RRC,,,0.02%,,,44.08%,0.01%,82.40%,0.00%,0.01%
0.00%,0%,pdcp_timer,[kernel.kallsyms],nmi_handle,PDCP,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0%,feprx,[kernel.kallsyms],native_flush_tlb_one_user,PHY,LOW PHY,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,feptx,[kernel.kallsyms],nmi_cpu_backtrace_handler,PHY,LOW PHY,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,TASK_GTPV1_U,[kernel.kallsyms],nmi_cpu_backtrace_handler,NG,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.11%,RLC,queue,[k],RLC,,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0.00%,0%,feprx,[kernel.kallsyms],nmi_cpu_backtrace,PHY,LOW PHY,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],nmi_cpu_backtrace_handler,RRC,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],native_sched_clock,PDCP,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.38%,thread_FH,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,,,-0.38%,,44.08%,0.00%,82.40%,0.31%,-0.31%
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],native_write_msr,SL,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0%,TASK_RRC_GNB,[kernel.kallsyms],nmi_cpu_backtrace,RRC,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.11%,RLC,queue,[k],RLC,,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0.00%,0%,feptx,[kernel.kallsyms],nmi_cpu_backtrace,PHY,LOW PHY,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0%,feprx,[kernel.kallsyms],nmi_cpu_backtrace_handler,PHY,LOW PHY,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],native_sched_clock,RRC,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0%,TASK_GTPV1_U,[kernel.kallsyms],nmi_handle,NG,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],nmi_cpu_backtrace_handler,PDCP,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,feprx,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.11%,RLC,queue,[k],RLC,,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0.00%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],native_write_msr,NG,,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],native_write_msr,RRC,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.03%,PDCP,data,[kernel.kallsyms],PDCP,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0.00%,0%,pdcp_timer,[kernel.kallsyms],intel_bts_enable_local,PDCP,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],native_write_msr,PDCP,,,0.00%,,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,5.62%,feptx,libdfts.so,idft1536,PHY,LOW PHY,DFT,,-5.62%,,44.08%,0.00%,82.40%,4.63%,-4.63%
0%,2.19%,thread_FH,liboai_usrpdevif.so,trx_usrp_read,PHY,LOW PHY,,,-2.19%,,44.08%,0.00%,82.40%,1.80%,-1.80%
0%,1.63%,nr-softmodem,liboai_usrpdevif.so,tx_rf,PHY,LOW PHY,,,-1.63%,,44.08%,0.00%,82.40%,1.34%,-1.34%
0%,1.60%,Tpool0_-1,libc-2.27.so,ldpc8blocks,PHY,HIGH PHY,LDPC,,-1.60%,,44.08%,0.00%,82.40%,1.32%,-1.32%
0%,1.48%,thread_FH,libuhd.so.4.1.0,0x00000000001f59b0,PHY,LOW PHY,,,-1.48%,,44.08%,0.00%,82.40%,1.22%,-1.22%
0%,1.45%,Tpool2_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,,-1.45%,,44.08%,0.00%,82.40%,1.19%,-1.19%
0%,1.31%,Tpool1_-1,libc-2.27.so,ldpc8blocks,PHY,HIGH PHY,LDPC,,-1.31%,,44.08%,0.00%,82.40%,1.08%,-1.08%
0%,1.23%,thread_FH,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,,-1.23%,,44.08%,0.00%,82.40%,1.01%,-1.01%
0%,1.12%,feprx,libdfts.so,dft512,PHY,LOW PHY,DFT,,-1.12%,,44.08%,0.00%,82.40%,0.92%,-0.92%
0%,1.06%,nr-softmodem,libuhd.so.4.1.0,[.],0x00000000001f5820,PHY,LOW PHY,,-1.06%,,44.08%,0.00%,82.40%,0.87%,-0.87%
0%,0.99%,feprx,libdfts.so,dft1536,PHY,LOW PHY,DFT,,-0.99%,,44.08%,0.00%,82.40%,0.82%,-0.82%
0%,0.84%,Tpool2_-1,libc-2.27.so,nrLDPC_decod,PHY,HIGH PHY,LDPC,,-0.84%,,44.08%,0.00%,82.40%,0.69%,-0.69%
0%,0.83%,thread_FH,[kernel.kallsyms],memset_erms,PHY,LOW PHY,,,-0.83%,,44.08%,0.00%,82.40%,0.68%,-0.68%
0%,0.67%,feptx,libdfts.so,idft512,PHY,LOW PHY,DFT,,-0.67%,,44.08%,0.00%,82.40%,0.55%,-0.55%
0%,0.66%,Tpool1_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC,,-0.66%,,44.08%,0.00%,82.40%,0.54%,-0.54%
0%,0.62%,thread_FH,[kernel.kallsyms],_raw_spin_lock_irqsave,PHY,LOW PHY,,,-0.62%,,44.08%,0.00%,82.40%,0.51%,-0.51%
0%,0.62%,Tpool2_-1,nr-softmodem,pf_ul,MAC,,,,-0.62%,,44.08%,0.00%,82.40%,0.51%,-0.51%
0%,0.57%,thread_FH,libpthread-2.27.so,__pthread_mutex_unlock,PHY,LOW PHY,,,-0.57%,,44.08%,0.00%,82.40%,0.47%,-0.47%
0%,0.55%,nr-softmodem,[kernel.kallsyms],proc_do_submiturb,PHY,LOW PHY,,,-0.55%,,44.08%,0.00%,82.40%,0.45%,-0.45%
0%,0.51%,thread_FH,libdfts.so,dft1536,PHY,LOW PHY,DFT,,-0.51%,,44.08%,0.00%,82.40%,0.42%,-0.42%
0%,0.40%,thread_FH,[kernel.kallsyms],proc_do_submiturb,PHY,LOW PHY,,,-0.40%,,44.08%,0.00%,82.40%,0.33%,-0.33%
0%,0.39%,nr-softmodem,[kernel.kallsyms],proc_do_submiturb,PHY,LOW PHY,,,-0.39%,,44.08%,0.00%,82.40%,0.32%,-0.32%
0%,0.37%,feptx,[kernel.kallsyms],get_futex_key_refs.isra.10,PHY,LOW PHY,,,-0.37%,,44.08%,0.00%,82.40%,0.30%,-0.30%
0%,0.37%,thread_FH,[kernel.kallsyms],processcompl,PHY,LOW PHY,,,-0.37%,,44.08%,0.00%,82.40%,0.30%,-0.30%
0%,0.33%,thread_FH,[kernel.kallsyms],put_pid,PHY,LOW PHY,,,-0.33%,,44.08%,0.00%,82.40%,0.27%,-0.27%
0%,0.33%,Tpool2_-1,nr-softmodem,crc24a,PHY,HIGH PHY,,,-0.33%,,44.08%,0.00%,82.40%,0.27%,-0.27%
0%,0.32%,thread_FH,[kernel.kallsyms],mutex_spin_on_owner,PHY,LOW PHY,,,-0.32%,,44.08%,0.00%,82.40%,0.26%,-0.26%
0%,0.31%,thread_FH,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,,-0.31%,,44.08%,0.00%,82.40%,0.26%,-0.26%
0%,0.30%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irqrestore,PHY,LOW PHY,,,-0.30%,,44.08%,0.00%,82.40%,0.25%,-0.25%
0%,0.29%,thread_FH,[kernel.kallsyms],do_sys_poll,PHY,LOW PHY,,,-0.29%,,44.08%,0.00%,82.40%,0.24%,-0.24%
0%,0.28%,nr-softmodem,nr-softmodem,nr_slot_select,PHY,LOW PHY,,,-0.28%,,44.08%,0.00%,82.40%,0.23%,-0.23%
0%,0.28%,thread_FH,libc-2.27.so,cfree@GLIBC_2.2.5,PHY,LOW PHY,,,-0.28%,,44.08%,0.00%,82.40%,0.23%,-0.23%
0%,0.28%,thread_FH,libdfts.so,dft512,PHY,LOW PHY,DFT,,-0.28%,,44.08%,0.00%,82.40%,0.23%,-0.23%
0%,0.24%,nr-softmodem,libuhd.so.4.1.0,[.],0x00000000001f582b,PHY,LOW PHY,,-0.24%,,44.08%,0.00%,82.40%,0.20%,-0.20%
0%,0.24%,nr-softmodem,libuhd.so.4.1.0,[.],uhd::transport::vrt::if_hdr_pack_le,PHY,LOW PHY,,-0.24%,,44.08%,0.00%,82.40%,0.20%,-0.20%
0%,0.21%,thread_FH,libpthread-2.27.so,pthread_cond_timedwait@@GLIBC_2.3.2,PHY,LOW PHY,,,-0.21%,,44.08%,0.00%,82.40%,0.17%,-0.17%
0%,0.21%,thread_FH,libuhd.so.4.1.0,0x00000000001f59b5,PHY,LOW PHY,,,-0.21%,,44.08%,0.00%,82.40%,0.17%,-0.17%
0%,0.19%,thread_FH,[kernel.kallsyms],futex_wait_setup,PHY,LOW PHY,,,-0.19%,,44.08%,0.00%,82.40%,0.16%,-0.16%
0%,0.18%,thread_FH,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,,,-0.18%,,44.08%,0.00%,82.40%,0.15%,-0.15%
0%,0.17%,thread_FH,libc-2.27.so,__GI___ioctl,PHY,LOW PHY,,,-0.17%,,44.08%,0.00%,82.40%,0.14%,-0.14%
0%,0.17%,thread_FH,[kernel.kallsyms],kfree,PHY,LOW PHY,,,-0.17%,,44.08%,0.00%,82.40%,0.14%,-0.14%
0%,0.16%,thread_FH,[kernel.kallsyms],clear_page_erms,PHY,LOW PHY,,,-0.16%,,44.08%,0.00%,82.40%,0.13%,-0.13%
0%,0.16%,thread_FH,[kernel.kallsyms],async_getcompleted,PHY,LOW PHY,,,-0.16%,,44.08%,0.00%,82.40%,0.13%,-0.13%
0%,0.16%,thread_FH,[kernel.kallsyms],pick_next_task_stop,PHY,LOW PHY,,,-0.16%,,44.08%,0.00%,82.40%,0.13%,-0.13%
0%,0.15%,thread_FH,[kernel.kallsyms],resched_curr,PHY,LOW PHY,,,-0.15%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.15%,Tpool1_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,,-0.15%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.15%,thread_FH,[kernel.kallsyms],switch_fpu_return,PHY,LOW PHY,,,-0.15%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.15%,thread_FH,libusb-1.0.so.0.1.0,libusb_submit_transfer,PHY,LOW PHY,,,-0.15%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.15%,thread_FH,libuhd.so.4.1.0,0x00000000001f59bf,PHY,LOW PHY,,,-0.15%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.15%,thread_FH,libc-2.27.so,__libc_calloc,PHY,LOW PHY,,,-0.15%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.15%,thread_FH,[kernel.kallsyms],__pollwait,PHY,LOW PHY,,,-0.15%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.14%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d2db,PHY,LOW PHY,,,-0.14%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.14%,thread_FH,[kernel.kallsyms],__rcu_read_unlock,PHY,LOW PHY,,,-0.14%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.14%,thread_FH,[kernel.kallsyms],select_task_rq_rt,PHY,LOW PHY,,,-0.14%,,44.08%,0.00%,82.40%,0.12%,-0.12%
0%,0.12%,thread_FH,[kernel.kallsyms],usbdev_do_ioctl,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.12%,thread_FH,libpthread-2.27.so,__lll_unlock_wake,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.12%,thread_FH,[kernel.kallsyms],__x64_sys_futex,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.12%,thread_FH,[kernel.kallsyms],__x64_sys_poll,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.11%,thread_FH,[kernel.kallsyms],__put_user_4,PHY,LOW PHY,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0%,0.11%,thread_FH,libc-2.27.so,_int_malloc,PHY,LOW PHY,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0%,0.11%,Tpool0_-1,nr-softmodem,pdcp_run,PDCP,,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0%,0.10%,thread_FH,[kernel.kallsyms],newidle_balance,PHY,LOW PHY,,,-0.10%,,44.08%,0.00%,82.40%,0.08%,-0.08%
0%,0.10%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,,,-0.10%,,44.08%,0.00%,82.40%,0.08%,-0.08%
0%,0.10%,thread_FH,[kernel.kallsyms],__fget_light,PHY,LOW PHY,,,-0.10%,,44.08%,0.00%,82.40%,0.08%,-0.08%
0%,0.09%,thread_FH,[kernel.kallsyms],poll_schedule_timeout.constprop.13,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,thread_FH,[kernel.kallsyms],get_futex_key_refs.isra.10,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,thread_FH,[kernel.kallsyms],update_rt_rq_load_avg,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,TASK_RRC_GNB,[kernel.kallsyms],irq_work_tick,RRC,,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,thread_FH,libpthread-2.27.so,__pthread_enable_asynccancel,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],__kmalloc,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,libc-2.27.so,__tz_convert,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],unfreeze_partials.isra.84,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],dequeue_top_rt_rq,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],group_sched_in,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,libuhd.so.4.1.0,0x00000000001f59ba,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.07%,thread_FH,libuhd.so.4.1.0,uhd::time_spec_t::from_ticks,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],current_time,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],usb_hcd_submit_urb,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_out,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],usbdev_poll,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],rb_next,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],usb_free_urb,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,pdcp_timer,[kernel.kallsyms],psi_task_change,PDCP,,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,RLC,queue,[k],RLC,,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.06%,thread_FH,[kernel.kallsyms],pipe_poll,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],pick_next_task_fair,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],__put_user_8,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],usbfs_increase_memory_usage,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],new_slab,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],perf_event_sched_in,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,libuhd.so.4.1.0,uhd::transport::vrt::if_hdr_unpack_le,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],___slab_alloc,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,nr-softmodem,nr_fep0,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,libc-2.27.so,__offtime,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,libuhd.so.4.1.0,0x000000000077fb69,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,libuhd.so.4.1.0,0x00000000001f59ca,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d325,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,RLC,queue,[.],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],copy_user_generic_unrolled,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],xhci_check_args,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,pdcp_timer,libpthread-2.27.so,__pthread_mutex_lock,PDCP,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
