Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.01%,0.05%,TASK_GTPV1_U,[kernel.kallsyms],udp_recvmsg,NG,,,,-0.04%,,141.55%,0.01%,67.23%,0.03%,-0.02%
0.01%,0%,Tpool3_-1,nr-softmodem,nr_fill_cce_list,PHY,,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],ip_output,PHY,LOW PHY,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,pf_dl,MAC,,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_RRC_GNB,libc-2.27.so,epoll_wait,RRC,,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],enqueue_task_rt,PHY,LOW PHY,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],retint_user,PHY,LOW PHY,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,config_uldci,MAC,,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_out,PHY,LOW PHY,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.37%,TASK_GTPV1_U,libc-2.27.so,malloc,NG,,,,-0.36%,,141.55%,0.01%,67.23%,0.25%,-0.23%
0.01%,0%,feptx,[kernel.kallsyms],cgroup_cpu_stat_account_end.isra.5,PHY,LOW PHY,,-0.36%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,crc16,PHY,HIGH PHY,,-0.36%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],inet_recvmsg,PHY,LOW PHY,,-0.36%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],__local_bh_enable_ip,NG,,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,pdcp_timer,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PDCP,,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,TASK_GTPV1_U,nr-softmodem,pthread_mutex_unlock@plt,NG,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],resched_curr,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,phy_procedures_gNB_TX,PHY,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],do_futex,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.11%,Tpool0_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,,-0.10%,,141.55%,0.01%,67.23%,0.07%,-0.06%
0.01%,0%,TASK_GTPV1_U,libc-2.27.so,epoll_wait,NG,,,-0.10%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],call_function_single_interrupt,PHY,LOW PHY,,-0.10%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],sock_recvmsg,NG,,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],tcp_rcv_space_adjust,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,feptx,[kernel.kallsyms],get_futex_key_refs.isra.11,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],pick_next_task_dl,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.00%,feprx,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,TASK_RRC_GNB,nr-softmodem,itti_get_events_locked,RRC,,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,thread_FH,[kernel.kallsyms],flush_smp_call_function_queue,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,libdfts.so,dft,PHY,LOW PHY,DFT,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.04%,thread_FH,[kernel.kallsyms],kfree,PHY,LOW PHY,,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],security_socket_recvmsg,PHY,LOW PHY,,-0.03%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],x86_pmu_disable,PHY,LOW PHY,,-0.03%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.18%,Tpool1_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,,-0.17%,,141.55%,0.01%,67.23%,0.12%,-0.11%
0.01%,0%,Tpool2_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_pusch_dmrs_rx,PHY,LOW PHY,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,libpthread-2.27.so,__pthread_disable_asynccancel,PHY,LOW PHY,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,pf_dl,MAC,,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,[kernel.kallsyms],irq_chip_ack_parent,PHY,LOW PHY,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],do_softirq.part.17,PHY,LOW PHY,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_ulsch_decoding,PHY,HIGH PHY,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],validate_xmit_skb_list,PHY,LOW PHY,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],dequeue_top_rt_rq,PHY,LOW PHY,,-0.17%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.14%,RLC,queue,[.],RLC,,,,-0.13%,,141.55%,0.01%,67.23%,0.09%,-0.08%
0.01%,0.04%,Tpool2_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],dequeue_rt_stack,NG,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,nr_pusch_dmrs_rx,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.01%,Tpool0_-1,libldpc.so,[.],memcpy@plt,PHY,HIGH PHY,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,crc16,PHY,HIGH PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.41%,Tpool3_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,,-0.40%,,141.55%,0.01%,67.23%,0.28%,-0.26%
0.01%,0%,thread_FH,librfsimulator.so,memset@plt,PHY,LOW PHY,,-0.40%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,nr-softmodem,find_nr_prach_ru,PHY,LOW PHY,,-0.40%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],check_preempt_curr,PHY,LOW PHY,,-0.40%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,nr-softmodem,get_samples_slot_timestamp,PHY,LOW PHY,,-0.40%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,Tpool2_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,NR_UL_indication,MAC,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],wake_q_add,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_fair,NG,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],__sched_text_start,RRC,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,feprx,nr-softmodem,get_samples_slot_timestamp,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_queue_rcv,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],select_task_rq_rt,NG,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],pull_rt_task,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_RRC_GNB,nr-softmodem,nr_rrc_subframe_process,RRC,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],native_apic_msr_eoi_write,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,nr_codeword_unscrambling,PHY,HIGH PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,is_nr_UL_slot,MAC,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool0_-1,libldpc.so,ldpc_BG2_Zc88_byte,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_fr1_dlsch_preprocessor,MAC,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[unknown],0xfffffe0000099027,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irqrestore,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,nr-softmodem,pthread_mutex_lock@plt,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],kmem_cache_free,NG,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],__fget,RRC,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,feptx,[kernel.kallsyms],sys_futex,PHY,LOW PHY,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,nr_ulsch_decoding,PHY,HIGH PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,schedule_control_sib1,MAC,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[unknown],0xfffffe00000fb01e,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,libdfts.so,dft64@plt,PHY,LOW PHY,DFT,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],eventfd_read,RRC,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,nr_codeword_unscrambling,PHY,HIGH PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],kmem_cache_free,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],sockfd_lookup_light,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],dst_release,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,[unknown],0xfffffe00000ca01b,NG,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],__dev_queue_xmit,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,thread_FH,libpthread-2.27.so,__libc_recv,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],lock_hrtimer_base.isra.21,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.01%,Tpool3_-1,nr-softmodem,crc24a,PHY,HIGH PHY,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],sched_clock_cpu,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],rb_insert_color_cached,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,Tpool3_-1,nr-softmodem,nr_rate_matching_ldpc,PHY,HIGH PHY,LDPC,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,nr_schedule_response,PHY,HIGH PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],cpupri_set,RRC,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_irqrestore,NG,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],sock_recvmsg,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],schedule,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],release_sock,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,thread_FH,[kernel.kallsyms],pick_next_task_idle,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],__sched_text_start,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_rlc_tick,RLC,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,libdfts.so,dft,PHY,LOW PHY,DFT,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.14%,RLC,queue,[.],RLC,,,,-0.13%,,141.55%,0.01%,67.23%,0.09%,-0.08%
0.01%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],ep_scan_ready_list.constprop.17,NG,,,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0.04%,TASK_GTPV1_U,libc-2.27.so,__memmove_avx_unaligned_erms,NG,,,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],schedule,RRC,,,-0.03%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,Tpool0_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],schedule_hrtimeout_range_clock,NG,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.06%,Tpool0_-1,nr-softmodem,get_dmrs_freq_idx,PHY,HIGH PHY,,,-0.05%,,141.55%,0.01%,67.23%,0.04%,-0.03%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,RRC,,,-0.05%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.10%,feptx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-0.09%,,141.55%,0.01%,67.23%,0.07%,-0.05%
0.01%,0%,Tpool2_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_rlc_manager_unlock,RLC,,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],enqueue_hrtimer,PHY,LOW PHY,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],__copy_skb_header,PHY,LOW PHY,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],futex_wait,PHY,LOW PHY,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,Tpool1_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],ipv4_dst_check,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,libpthread-2.27.so,__pthread_mutex_unlock,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,nr-softmodem,nr_fep_full_2thread,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,thread_FH,[kernel.kallsyms],enqueue_top_rt_rq,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,pdcp_timer,[kernel.kallsyms],dequeue_rt_stack,PDCP,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],tcp_cleanup_rbuf,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_try_coalesce,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_send_delayed_ack,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,get_pdsch_to_harq_feedback,MAC,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,Tpool2_-1,nr-softmodem,get_dmrs_freq_idx,PHY,HIGH PHY,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],ip_local_out,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_established_options,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],native_apic_msr_eoi_write,NG,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_generate_dci,PHY,HIGH PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],validate_xmit_xfrm,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,libdfts.so,idft1024@plt,PHY,LOW PHY,DFT,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,[kernel.kallsyms],dequeue_rt_stack,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,Tpool1_-1,nr-softmodem,phy_procedures_gNB_uespec_RX,PHY,HIGH PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.50%,feptx,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,,,-0.49%,,141.55%,0.01%,67.23%,0.34%,-0.32%
0.01%,0%,thread_FH,[kernel.kallsyms],lock_sock_nested,PHY,LOW PHY,,-0.49%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,[kernel.kallsyms],add_interrupt_randomness,PHY,LOW PHY,,-0.49%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,thread_FH,[unknown],0xfffffe00000fb01b,PHY,LOW PHY,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],mutex_unlock,RRC,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],scheduler_ipi,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,nr_decode_pucch0,PHY,HIGH PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],cpuacct_charge,NG,,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.14%,RLC,queue,[.],RLC,,,,-0.13%,,141.55%,0.01%,67.23%,0.09%,-0.08%
0.01%,0%,thread_FH,[kernel.kallsyms],ktime_get,PHY,LOW PHY,,-0.13%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],__kmalloc_node_track_caller,PHY,LOW PHY,,-0.13%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.04%,thread_FH,[kernel.kallsyms],__wake_up_common,PHY,LOW PHY,,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0.08%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_data,NG,,,,-0.07%,,141.55%,0.01%,67.23%,0.05%,-0.04%
0.01%,0.01%,feprx,nr-softmodem,nr_fep0,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0%,thread_FH,[kernel.kallsyms],__sched_text_start,PHY,LOW PHY,,-0.37%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,-0.37%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],enqueue_task_rt,PHY,LOW PHY,,-0.37%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,nr-softmodem,itti_get_events,NG,,,-0.37%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.00%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_rate_gen,PHY,LOW PHY,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_enable_asynccancel,NG,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],rb_next,PHY,LOW PHY,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],fput,NG,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,nr_schedule_ue_spec,MAC,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],eventfd_poll,RRC,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,nr_rlc_entity_am_set_time,RLC,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],__entry_trampoline_start,RRC,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],__perf_event_task_sched_in,RRC,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],clockevents_program_event,PHY,LOW PHY,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,Tpool3_-1,libldpc.so,[.],memcpy@plt,PHY,HIGH PHY,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
