Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.16%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],sys_epoll_wait,NG,,,0.13%,,,141.55%,0.23%,67.23%,0.02%,0.21%
0.15%,0.11%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.04%,,,141.55%,0.21%,67.23%,0.07%,0.14%
0.15%,0.09%,Tpool1_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.06%,,,141.55%,0.21%,67.23%,0.06%,0.15%
0.14%,0.29%,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,,-0.15%,,141.55%,0.20%,67.23%,0.19%,0.00%
0.14%,0.07%,Tpool0_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.07%,,,141.55%,0.20%,67.23%,0.05%,0.15%
0.13%,0.04%,thread_FH,[kernel.kallsyms],tcp_recvmsg,PHY,LOW PHY,,0.09%,,,141.55%,0.18%,67.23%,0.03%,0.16%
0.13%,0.03%,TASK_RRC_GNB,nr-softmodem,is_x2ap_enabled,RRC,,,0.10%,,,141.55%,0.18%,67.23%,0.02%,0.16%
0.13%,0%,TASK_GTPV1_U,[kernel.kallsyms],__sk_mem_reduce_allocated,NG,,,0.10%,,,141.55%,0.18%,67.23%,0.00%,0.18%
0.13%,0.13%,thread_FH,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,0.00%,,,141.55%,0.18%,67.23%,0.09%,0.10%
0.12%,0.14%,RLC,queue,[.],RLC,,,,-0.02%,,141.55%,0.17%,67.23%,0.09%,0.08%
0.12%,1.08%,Tpool1_-1,nr-softmodem,nr_generate_pdsch,PHY,,,,-0.96%,,141.55%,0.17%,67.23%,0.73%,-0.56%
0.12%,0.02%,thread_FH,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,0.10%,,,141.55%,0.17%,67.23%,0.01%,0.16%
0.12%,0.46%,Tpool1_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,,-0.34%,,141.55%,0.17%,67.23%,0.31%,-0.14%
0.11%,0.71%,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.60%,,141.55%,0.16%,67.23%,0.48%,-0.32%
0.11%,0.17%,Tpool2_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,,-0.06%,,141.55%,0.16%,67.23%,0.11%,0.04%
0.10%,0.52%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.42%,,141.55%,0.14%,67.23%,0.35%,-0.21%
0.10%,0.09%,Tpool3_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.01%,,,141.55%,0.14%,67.23%,0.06%,0.08%
0.10%,0.02%,feptx,libdfts.so,idft,PHY,LOW PHY,DFT,0.08%,,,141.55%,0.14%,67.23%,0.01%,0.13%
0.10%,0%,pdcp_timer,[kernel.kallsyms],pull_rt_task,PDCP,,,0.08%,,,141.55%,0.14%,67.23%,0.00%,0.14%
0.10%,0.07%,Tpool3_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.03%,,,141.55%,0.14%,67.23%,0.05%,0.09%
0.10%,0.44%,Tpool0_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,,-0.34%,,141.55%,0.14%,67.23%,0.30%,-0.15%
0.10%,0.11%,Tpool1_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.01%,,141.55%,0.14%,67.23%,0.07%,0.07%
0.09%,0.03%,feptx,nr-softmodem,PHY_ofdm_mod.part.0,PHY,LOW PHY,,0.06%,,,141.55%,0.13%,67.23%,0.02%,0.11%
0.09%,0.01%,Tpool0_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.08%,,,141.55%,0.13%,67.23%,0.01%,0.12%
0.08%,0.09%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.01%,,141.55%,0.11%,67.23%,0.06%,0.05%
0.08%,0.11%,Tpool3_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,,-0.03%,,141.55%,0.11%,67.23%,0.07%,0.04%
0.08%,0.07%,Tpool2_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.01%,,,141.55%,0.11%,67.23%,0.05%,0.07%
0.08%,0%,thread_FH,[kernel.kallsyms],__slab_free,PHY,LOW PHY,,0.01%,,,141.55%,0.11%,67.23%,0.00%,0.11%
0.08%,0.35%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,,,-0.27%,,141.55%,0.11%,67.23%,0.24%,-0.12%
0.08%,0.11%,thread_FH,[unknown],0xfffffe000003701b,PHY,LOW PHY,,,-0.03%,,141.55%,0.11%,67.23%,0.07%,0.04%
0.08%,0.05%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,0.03%,,,141.55%,0.11%,67.23%,0.03%,0.08%
0.08%,0.79%,Tpool1_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,,-0.71%,,141.55%,0.11%,67.23%,0.53%,-0.42%
0.07%,0.10%,Tpool2_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,,-0.03%,,141.55%,0.10%,67.23%,0.07%,0.03%
0.07%,0.05%,thread_FH,[kernel.kallsyms],__fget,PHY,LOW PHY,,0.02%,,,141.55%,0.10%,67.23%,0.03%,0.07%
0.07%,0.04%,thread_FH,[kernel.kallsyms],mlx4_en_xmit,PHY,LOW PHY,,0.03%,,,141.55%,0.10%,67.23%,0.03%,0.07%
0.07%,0.74%,Tpool0_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,,-0.67%,,141.55%,0.10%,67.23%,0.50%,-0.40%
0.07%,0%,feptx,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,-0.67%,,,141.55%,0.10%,67.23%,0.00%,0.10%
0.07%,0.87%,Tpool2_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,,-0.80%,,141.55%,0.10%,67.23%,0.58%,-0.49%
0.06%,0%,thread_FH,[kernel.kallsyms],copyout,PHY,LOW PHY,,-0.80%,,,141.55%,0.08%,67.23%,0.00%,0.08%
0.06%,0.04%,feptx,libdfts.so,idft64@plt,PHY,LOW PHY,DFT,0.02%,,,141.55%,0.08%,67.23%,0.03%,0.06%
0.06%,0.32%,Tpool0_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,,-0.26%,,141.55%,0.08%,67.23%,0.22%,-0.13%
0.06%,0.03%,Tpool3_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,0.03%,,,141.55%,0.08%,67.23%,0.02%,0.06%
0.06%,0.04%,Tpool1_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.02%,,,141.55%,0.08%,67.23%,0.03%,0.06%
