Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
0.10%,TASK_GTPV1_U,nr-softmodem,nr_sdap_qfi2drb_map,NG,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],sys_recvfrom,NG,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],csum_partial_copy_from_user,NG,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],xfrm_lookup,NG,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_dl,NG,,
0.09%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_disable_asynccancel,NG,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],ip_send_check,NG,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],__x86_indirect_thunk_rcx,NG,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],dequeue_rt_stack,NG,,
0.05%,PDCP,data,[kernel.kallsyms],PDCP,,
0.00%,TASK_GTPV1_U,[kernel.kallsyms],native_apic_msr_write,NG,,
0.00%,PDCP,data,[kernel.kallsyms],PDCP,,
0.00%,TASK_GTPV1_U,[kernel.kallsyms],intel_pmu_handle_irq,NG,,
0.00%,TASK_GTPV1_U,[kernel.kallsyms],intel_bts_enable_local,NG,,
0.00%,PDCP,data,[kernel.kallsyms],PDCP,,
